"station","variable","date","value"
"WM","flow_cms",2000-06-17,4.17219573806276
"BR","flow_cms",2000-06-18,14.1584235
"WM","flow_cms",2000-06-18,19.3157210095498
"BR","flow_cms",2000-06-19,1.897228749
"WM","flow_cms",2000-06-19,2.58830661527967
"BR","flow_cms",2000-06-20,0.764554869
"WM","flow_cms",2000-06-20,1.04304893451569
"BR","flow_cms",2000-06-21,1.500792891
"WM","flow_cms",2000-06-21,2.04746642701228
"BR","flow_cms",2000-06-22,0.707921175
"WM","flow_cms",2000-06-22,0.96578605047749
"BR","flow_cms",2000-06-23,0.396435858
"WM","flow_cms",2000-06-23,0.540840188267394
"BR","flow_cms",2000-06-24,0.2661783618
"WM","flow_cms",2000-06-24,0.363135554979536
"BR","flow_cms",2000-06-25,0.622970634
"WM","flow_cms",2000-06-25,0.849891724420191
"BR","flow_cms",2000-06-26,0.453069552
"WM","flow_cms",2000-06-26,0.618103072305593
"BR","flow_cms",2000-06-27,0.28316847
"WM","flow_cms",2000-06-27,0.386314420190996
"BR","flow_cms",2000-06-28,0.2152080372
"WM","flow_cms",2000-06-28,0.293598959345157
"BR","flow_cms",2000-06-29,0.1925545596
"WM","flow_cms",2000-06-29,0.262693805729877
"BR","flow_cms",2000-06-30,0.1670693973
"WM","flow_cms",2000-06-30,0.227925507912688
"BR","flow_cms",2000-07-01,0.0934455951
"WM","flow_cms",2000-07-01,0.127483758663029
"BR","flow_cms",2000-07-02,0.0764554869
"WM","flow_cms",2000-07-02,0.104304893451569
"BR","flow_cms",2000-07-03,0.736238022
"WM","flow_cms",2000-07-03,1.00441749249659
"BR","flow_cms",2000-07-04,0.821188563
"WM","flow_cms",2000-07-04,1.12031181855389
"BR","flow_cms",2000-07-05,0.28316847
"WM","flow_cms",2000-07-05,0.386314420190996
"BR","flow_cms",2000-07-06,0.1868911902
"WM","flow_cms",2000-07-06,0.254967517326057
"BR","flow_cms",2000-07-07,0.1104357033
"WM","flow_cms",2000-07-07,0.150662623874488
"BR","flow_cms",2000-07-08,0.0764554869
"WM","flow_cms",2000-07-08,0.104304893451569
"BR","flow_cms",2000-07-09,0.0622970634
"WM","flow_cms",2000-07-09,0.0849891724420191
"BR","flow_cms",2000-07-10,0.1019406492
"WM","flow_cms",2000-07-10,0.139073191268759
"BR","flow_cms",2000-07-11,0.113267388
"WM","flow_cms",2000-07-11,0.154525768076398
"BR","flow_cms",2000-07-12,0.0651287481
"WM","flow_cms",2000-07-12,0.088852316643929
"BR","flow_cms",2000-07-13,0.0481386399
"WM","flow_cms",2000-07-13,0.0656734514324693
"BR","flow_cms",2000-07-14,0.0538020093
"WM","flow_cms",2000-07-14,0.0733997398362892
"BR","flow_cms",2000-07-15,0.0736238022
"WM","flow_cms",2000-07-15,0.100441749249659
"BR","flow_cms",2000-07-16,1.359208656
"WM","flow_cms",2000-07-16,1.85430921691678
"BR","flow_cms",2000-07-17,0.396435858
"WM","flow_cms",2000-07-17,0.540840188267394
"BR","flow_cms",2000-07-18,0.1444159197
"WM","flow_cms",2000-07-18,0.197020354297408
"BR","flow_cms",2000-07-19,0.0877822257
"WM","flow_cms",2000-07-19,0.119757470259209
"BR","flow_cms",2000-07-20,0.0622970634
"WM","flow_cms",2000-07-20,0.0849891724420191
"BR","flow_cms",2000-07-21,0.0424752705
"WM","flow_cms",2000-07-21,0.0579471630286494
"BR","flow_cms",2000-07-22,0.0368119011
"WM","flow_cms",2000-07-22,0.0502208746248295
"BR","flow_cms",2000-07-23,0.028316847
"WM","flow_cms",2000-07-23,0.0386314420190996
"BR","flow_cms",2000-07-24,0.0226534776
"WM","flow_cms",2000-07-24,0.0309051536152797
"BR","flow_cms",2000-07-25,0.01783961361
"WM","flow_cms",2000-07-25,0.0243378084720327
"BR","flow_cms",2000-07-26,0.01472476044
"WM","flow_cms",2000-07-26,0.0200883498499318
"BR","flow_cms",2000-07-27,0.01245941268
"WM","flow_cms",2000-07-27,0.0169978344884038
"BR","flow_cms",2000-07-28,0.01076040186
"WM","flow_cms",2000-07-28,0.0146799479672578
"BR","flow_cms",2000-07-29,0.2803367853
"WM","flow_cms",2000-07-29,0.382451275989086
"BR","flow_cms",2000-07-30,0.538020093
"WM","flow_cms",2000-07-30,0.733997398362892
"BR","flow_cms",2000-07-31,0.0962772798
"WM","flow_cms",2000-07-31,0.131346902864939
"BR","flow_cms",2000-08-01,0.0538020093
"WM","flow_cms",2000-08-01,0.0733997398362892
"BR","flow_cms",2000-08-02,0.0481386399
"WM","flow_cms",2000-08-02,0.0656734514324693
"BR","flow_cms",2000-08-03,0.2067129831
"WM","flow_cms",2000-08-03,0.282009526739427
"BR","flow_cms",2000-08-04,0.1019406492
"WM","flow_cms",2000-08-04,0.139073191268759
"BR","flow_cms",2000-08-05,0.0453069552
"WM","flow_cms",2000-08-05,0.0618103072305593
"BR","flow_cms",2000-08-06,4.275843897
"WM","flow_cms",2000-08-06,5.83334774488404
"BR","flow_cms",2000-08-07,6.739409586
"WM","flow_cms",2000-08-07,9.1942832005457
"BR","flow_cms",2000-08-08,0.764554869
"WM","flow_cms",2000-08-08,1.04304893451569
"BR","flow_cms",2000-08-09,0.368119011
"WM","flow_cms",2000-08-09,0.502208746248295
"BR","flow_cms",2000-08-10,0.2633466771
"WM","flow_cms",2000-08-10,0.359272410777626
"BR","flow_cms",2000-08-11,0.169901082
"WM","flow_cms",2000-08-11,0.231788652114598
"BR","flow_cms",2000-08-12,0.0877822257
"WM","flow_cms",2000-08-12,0.119757470259209
"BR","flow_cms",2000-08-13,0.0594653787
"WM","flow_cms",2000-08-13,0.0811260282401091
"BR","flow_cms",2000-08-14,0.0481386399
"WM","flow_cms",2000-08-14,0.0656734514324693
"BR","flow_cms",2000-08-15,0.0396435858
"WM","flow_cms",2000-08-15,0.0540840188267394
"BR","flow_cms",2000-08-16,0.0368119011
"WM","flow_cms",2000-08-16,0.0502208746248295
"BR","flow_cms",2000-08-17,0.0368119011
"WM","flow_cms",2000-08-17,0.0502208746248295
"BR","flow_cms",2000-08-18,0.0424752705
"WM","flow_cms",2000-08-18,0.0579471630286494
"BR","flow_cms",2000-08-19,0.0368119011
"WM","flow_cms",2000-08-19,0.0502208746248295
"BR","flow_cms",2000-08-20,0.0339802164
"WM","flow_cms",2000-08-20,0.0463577304229195
"BR","flow_cms",2000-08-21,0.02491882536
"WM","flow_cms",2000-08-21,0.0339956689768076
"BR","flow_cms",2000-08-22,0.02095446678
"WM","flow_cms",2000-08-22,0.0285872670941337
"BR","flow_cms",2000-08-23,0.028316847
"WM","flow_cms",2000-08-23,0.0386314420190996
"BR","flow_cms",2000-08-24,0.02378615148
"WM","flow_cms",2000-08-24,0.0324504112960437
"BR","flow_cms",2000-08-25,0.0169901082
"WM","flow_cms",2000-08-25,0.0231788652114598
"BR","flow_cms",2000-08-26,0.01359208656
"WM","flow_cms",2000-08-26,0.0185430921691678
"BR","flow_cms",2000-08-27,0.02010496137
"WM","flow_cms",2000-08-27,0.0274283238335607
"BR","flow_cms",2000-08-28,0.01557426585
"WM","flow_cms",2000-08-28,0.0212472931105048
"BR","flow_cms",2000-08-29,0.01245941268
"WM","flow_cms",2000-08-29,0.0169978344884038
"BR","flow_cms",2000-08-30,0.00934455951
"WM","flow_cms",2000-08-30,0.0127483758663029
"BR","flow_cms",2000-08-31,0.00877822257
"WM","flow_cms",2000-08-31,0.0119757470259209
"BR","flow_cms",2000-09-01,0.00877822257
"WM","flow_cms",2000-09-01,0.0119757470259209
"BR","flow_cms",2000-09-02,0.0084950541
"WM","flow_cms",2000-09-02,0.0115894326057299
"BR","flow_cms",2000-09-03,0.00934455951
"WM","flow_cms",2000-09-03,0.0127483758663029
"BR","flow_cms",2000-09-04,0.02123763525
"WM","flow_cms",2000-09-04,0.0289735815143247
"BR","flow_cms",2000-09-05,0.02378615148
"WM","flow_cms",2000-09-05,0.0324504112960437
"BR","flow_cms",2000-09-06,0.0141584235
"WM","flow_cms",2000-09-06,0.0193157210095498
"BR","flow_cms",2000-09-07,0.0113267388
"WM","flow_cms",2000-09-07,0.0154525768076398
"BR","flow_cms",2000-09-08,0.0084950541
"WM","flow_cms",2000-09-08,0.0115894326057299
"BR","flow_cms",2000-09-09,0.00736238022
"WM","flow_cms",2000-09-09,0.0100441749249659
"BR","flow_cms",2000-09-10,0.1245941268
"WM","flow_cms",2000-09-10,0.169978344884038
"BR","flow_cms",2000-09-11,0.1755644514
"WM","flow_cms",2000-09-11,0.239514940518417
"BR","flow_cms",2000-09-12,0.0651287481
"WM","flow_cms",2000-09-12,0.088852316643929
"BR","flow_cms",2000-09-13,0.0368119011
"WM","flow_cms",2000-09-13,0.0502208746248295
"BR","flow_cms",2000-09-14,0.02690100465
"WM","flow_cms",2000-09-14,0.0366998699181446
"BR","flow_cms",2000-09-15,0.02690100465
"WM","flow_cms",2000-09-15,0.0366998699181446
"BR","flow_cms",2000-09-16,0.02067129831
"WM","flow_cms",2000-09-16,0.0282009526739427
"BR","flow_cms",2000-09-17,0.01642377126
"WM","flow_cms",2000-09-17,0.0224062363710778
"BR","flow_cms",2000-09-18,0.01359208656
"WM","flow_cms",2000-09-18,0.0185430921691678
"BR","flow_cms",2000-09-19,0.01047723339
"WM","flow_cms",2000-09-19,0.0142936335470668
"BR","flow_cms",2000-09-20,0.00707921175
"WM","flow_cms",2000-09-20,0.0096578605047749
"BR","flow_cms",2000-09-21,0.0311485317
"WM","flow_cms",2000-09-21,0.0424945862210096
"BR","flow_cms",2000-09-22,0.0169901082
"WM","flow_cms",2000-09-22,0.0231788652114598
"BR","flow_cms",2000-09-23,0.028316847
"WM","flow_cms",2000-09-23,0.0386314420190996
"BR","flow_cms",2000-09-24,0.0764554869
"WM","flow_cms",2000-09-24,0.104304893451569
"BR","flow_cms",2000-09-25,0.0594653787
"WM","flow_cms",2000-09-25,0.0811260282401091
"BR","flow_cms",2000-09-26,0.0368119011
"WM","flow_cms",2000-09-26,0.0502208746248295
"BR","flow_cms",2000-09-27,0.02520199383
"WM","flow_cms",2000-09-27,0.0343819833969986
"BR","flow_cms",2000-09-28,0.01953862443
"WM","flow_cms",2000-09-28,0.0266556949931787
"BR","flow_cms",2000-09-29,0.01585743432
"WM","flow_cms",2000-09-29,0.0216336075306958
"BR","flow_cms",2000-09-30,0.01387525503
"WM","flow_cms",2000-09-30,0.0189294065893588
"BR","flow_cms",2000-10-01,0.01302574962
"WM","flow_cms",2000-10-01,0.0177704633287858
"BR","flow_cms",2000-10-02,0.0113267388
"WM","flow_cms",2000-10-02,0.0154525768076398
"BR","flow_cms",2000-10-03,0.00934455951
"WM","flow_cms",2000-10-03,0.0127483758663029
"BR","flow_cms",2000-10-04,0.01444159197
"WM","flow_cms",2000-10-04,0.0197020354297408
"BR","flow_cms",2000-10-05,0.1245941268
"WM","flow_cms",2000-10-05,0.169978344884038
"BR","flow_cms",2000-10-06,0.339802164
"WM","flow_cms",2000-10-06,0.463577304229195
"BR","flow_cms",2000-10-07,0.1642377126
"WM","flow_cms",2000-10-07,0.224062363710778
"BR","flow_cms",2000-10-08,0.1019406492
"WM","flow_cms",2000-10-08,0.139073191268759
"BR","flow_cms",2000-10-09,0.1359208656
"WM","flow_cms",2000-10-09,0.185430921691678
"BR","flow_cms",2000-10-10,0.0906139104
"WM","flow_cms",2000-10-10,0.123620614461119
"BR","flow_cms",2000-10-11,0.0538020093
"WM","flow_cms",2000-10-11,0.0733997398362892
"BR","flow_cms",2000-10-12,0.0368119011
